question,answer
Who is Johnston?,Mr. Martinelli said yesterday that the Citizens Group of Johnston will meet again July 24 to plan further strategy in the charter movement .
What is Citizens Group?,`` It has become our responsibility and I hope that the Citizens Group will spearhead the movement '' .
What is Democratic?,"Some opposition to the home rule movement started to be heard yesterday , with spokesmen for the town's insurgent Democratic leadership speaking out against the home rule charter in favor of the model municipal league charter ."
What is Citizens Group?,Misunderstanding of the real meaning of a home rule charter was cited as a factor which has caused the Citizens Group to obtain signatures under what were termed `` false pretenses '' .
What is General Assembly?,"Several signers affixed their names , it was learned , after being told that no tax increase would be possible without consent of the General Assembly and that a provision could be included in the charter to have the town take over the Johnston Sanitary District sewer system ."
Who is Johnston Sanitary District?,"Several signers affixed their names , it was learned , after being told that no tax increase would be possible without consent of the General Assembly and that a provision could be included in the charter to have the town take over the Johnston Sanitary District sewer system ."
What is Action?,Action on a new ordinance permitting motorists who plead guilty to minor traffic offenses to pay fines at the local police station may be taken at Monday's special North Providence Town Council meeting .
What is Council?,Council president Frank SanAntonio said yesterday he may ask the council to formally request Town Solicitor Michael A. Abatuno to draft the ordinance .
Who is Frank SanAntonio?,Council president Frank SanAntonio said yesterday he may ask the council to formally request Town Solicitor Michael A. Abatuno to draft the ordinance .
Who is Town Solicitor Michael?,Council president Frank SanAntonio said yesterday he may ask the council to formally request Town Solicitor Michael A. Abatuno to draft the ordinance .
What is General Assembly?,"At the last session of the General Assembly , the town was authorized to adopt such an ordinance as a means of making enforcement of minor offenses more effective ."
What is Nothing?,Nothing has been done yet to take advantage of the enabling legislation .
Who is Sixth District Court?,At present all offenses must be taken to Sixth District Court for disposition .
What is Local?,Local police have hesitated to prosecute them because of the heavy court costs involved even for the simplest offense .
Who is James P. Mitchell?,"-- James P. Mitchell and Sen. Walter H. Jones R-Bergen , last night disagreed on the value of using as a campaign issue a remark by Richard J. Hughes , Democratic gubernatorial candidate , that the GOP is `` Campaigning on the carcass of Eisenhower Republicanism '' ."
